file,token,time,sequence,sample,amplitude
01-breathy,2,0.2967764184658281,2,0.520439274302152,0.8445575976100244
01-breathy,2,0.2967764184658281,2,0.5430670688370282,0.6840204378678145
01-breathy,2,0.2967764184658281,2,0.5656948633719043,0.5460807165247751
01-breathy,2,0.2967764184658281,2,0.5883226579067805,0.4232421712783523
01-breathy,2,0.2967764184658281,2,0.6109504524416567,0.34327402116661676
01-breathy,2,0.2967764184658281,2,0.6335782469765329,0.24937495483492458
01-breathy,2,0.2967764184658281,2,0.656206041511409,0.2188240982707644
01-breathy,2,0.2967764184658281,2,0.6788338360462851,0.18109921662057704
01-breathy,2,0.2967764184658281,2,0.7014616305811613,0.16533007437646194
01-breathy,2,0.2967764184658281,2,0.7240894251160375,0.13798862624357253
01-breathy,2,0.2967764184658281,2,0.7467172196509136,0.12132035488353231
01-breathy,2,0.2967764184658281,2,0.7693450141857898,0.08788840336077015
01-breathy,2,0.2967764184658281,2,0.791972808720666,0.028846830769282017
